[2026-04-10 20:26:29] [OHD]  START PROCESS_QUARANTINE | targets=GHOST_SWEEP_ORPHAN_SWEEP_2d_games, GHOST_SWEEP_ORPHAN_SWEEP_3d_games, oma_test.log, OmniClaw Ecosystem Sanitization Hardening.md, omniclaw.bat (count=28)
[2026-04-10 20:26:30] [OA]  START DISPATCH_VERDICT | targets=Task_ID_123 (count=1)
[2026-04-10 20:26:30] [OHD]  OK END PROCESS_QUARANTINE | success=26 failed=0 skipped=2
[2026-04-10 20:26:35] [OA]  PARTIAL END DISPATCH_VERDICT | success=0 failed=1 skipped=0
[2026-04-10 20:26:35] [OA]  START LEARN_DUMPS | targets=docs, docs_015106, docs_015811, docs_020144, docs_020849 (count=445)
[2026-04-10 20:27:00] [OHD]  START PROCESS_QUARANTINE | targets=DUPLICATES, GHOST_SWEEP_007, GHOST_SWEEP_00_andruia_consultant, GHOST_SWEEP_10_andruia_skill_smith, GHOST_SWEEP_1password (count=1387)
[2026-04-10 20:27:02] [OHD]  OK END PROCESS_QUARANTINE | success=1385 failed=0 skipped=2
[2026-04-10 20:27:32] [OHD]  START PROCESS_QUARANTINE | targets=docs, docs_015106, docs_015811, docs_020144, docs_020849 (count=9)
[2026-04-10 20:27:32] [OHD]  OK END PROCESS_QUARANTINE | success=7 failed=0 skipped=2
[2026-04-10 20:28:02] [OHD]  START PROCESS_QUARANTINE | targets=GHOST_SWEEP_ORPHAN_SWEEP_2d_games, GHOST_SWEEP_ORPHAN_SWEEP_3d_games, oma_test.log, omniclaw.bat (count=4)
[2026-04-10 20:28:02] [OHD]  OK END PROCESS_QUARANTINE | success=2 failed=0 skipped=2
[2026-04-10 20:28:33] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:28:33] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:29:03] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:29:03] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:29:33] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat, ORPHAN_SWEEP_references, ORPHAN_SWEEP_resources, ORPHAN_SWEEP_scripts (count=5)
[2026-04-10 20:29:33] [OHD]  OK END PROCESS_QUARANTINE | success=3 failed=0 skipped=2
[2026-04-10 20:30:04] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
[2026-04-10 20:30:04] [OHD]  OK END PROCESS_QUARANTINE | success=0 failed=0 skipped=2
[2026-04-10 20:30:34] [OHD]  START PROCESS_QUARANTINE | targets=oma_test.log, omniclaw.bat (count=2)
